// Current Version: 6.7.0	en-US	ko-KR	ja-JP	zh-CN
// UNIT	// Units	//	//	//
WARNING_TIME_DESC	The calculation may take a long time.<br>Try to exclude sub-optimal chips by using/refining the Filter (above the inventory).<br>Try the filter preset if you are using the stat preset.	시간이 너무 오래 걸립니다.<br>(인벤토리 위에 있는) 필터로 필요없는 칩셋을 제외하는 것을 추천합니다.<br>프리셋을 사용하는 경우 같이 사용할 수 있는 필터 프리셋을 이용해보세요.	組み合わせるのに時間がかかり過ぎます<br>(インベントリー上の)フィルターで必要の無いチップセットを除外することをお勧めします<br>プリセットを使用する場合一緒に使えるフィルタープリセットをご活用してください	
// COMB	// Calculation	//	//	//
COMB_REMAINING	{0} left	{0} 남음	{0} 残り	
COMB_DESC	Click an item on the list<br>to check the result.	리스트를 클릭하여<br>조합 확인	リストをクリックして<br>組み合わせ確認	
COMB_NONEFOUND	None Found	조합 없음	組み合わせパターン無し	
COMB_MARK_CONTINUE_TITLE	Mark	마킹 확인	マーキング 確認	
COMB_MARK_CONTINUE_BODY	Do you wish to mark all Chips used in the result?	조합에 쓰인 칩 모두 마킹하시겠습니까?	組み合わせに使われたチップ全てをマーキングしますか?	
COMB_DNE_TITLE	Missing	찾기 실패	検索失敗	
COMB_DNE_BODY	Some of the Chips in the inventory are missing. Do you wish to continue?	조합에 쓰인 칩 일부가 인벤토리에 없습니다. 계속 하시겠습니까?	組み合わせに使われたチップの一部がありません､続けますか?	
COMB_OPTION_M2_0	Fill 35-36 tiles with 5B+6 Chips	5B+6칸 칩 + 보드 35~36칸	5B+6マスチップ + ボード35~36マス	
COMB_OPTION_M2_1	With Chips of size 4-6	4칸 ~ 6칸	4マス~6マス	
COMB_OPTION_M2_2	With Chips of size 1-6	1칸 ~ 6칸	1マス~6マス	
COMB_OPTION_M2_DESC	Below <b>4-tile Chips</b> can make calculations very slow.<br>Only 6 and 5B Chips have 100% efficiency.<br>(If you want to calculate only with 6 and 5B Chips, exclude 5A Chips with the filter menu.)<br><br><b>[{0}]</b> and <b>[{1}]</b> options are recommended.<br>(<b>[{0}]</b> option will not fill all circuit tiles.)	<b>4칸</b> 미만의 칩을 포함하여 조합할 경우 조합 속도가 매우 느립니다.<br><b>5칸 A형</b> 이하의 칩은 100% 효율이 나오지 않습니다. (좌측 상단 도움말 참조)<br>(5B + 6칸 조합을 하실려면 필터 기능으로 5A 이하를 제외하세요.)<br><br><b>[{0}]</b> 옵션과 <b>[{1}]</b> 옵션을 추천합니다.<br>(<b>[{0}]</b> 옵션은 보드를 모두 채우지 않는 옵션입니다.)	<b>4マス</b> 未満のチップを含めて組み合わせる場合組み合わせ速度が遅くなります<br><b>5マスA型</b>以下のチップは100%効率が出ません(左上ヘルプ参考)<br>(5B + 6マス 組み合わせをする場合フィルター機能で5A以下を除外してください)<br><br><b>[{0}]</b>設定と<b>[{1}]</b>の設定を推薦します<br>(<b>[{0}]</b>設定はボードを全部満たさない設定です)	
COMB_OPTION_DEFAULT_0	With Chips of size {0}-6	{0} ~ 6칸	{0}マス~6マス	
COMB_OPTION_DEFAULT_1	With Chips of size 1-6	1칸 ~ 6칸	1マス~6マス	
COMB_OPTION_DEFAULT_DESC	Below <b>{1} Chips</b> can make calculations very slow.<br>Only <b>6</b> and <b>5 Type B</b> Chips have 100% efficiencies.<br>(If you want to calculate only with 6 and 5B Chips, exclude 5A Chips with the filter menu.)<br><br><b>[{0}]</b> option is recommended.	<b>{1}</b> 미만의 칩을 포함하여 조합할 경우 조합 속도가 매우 느립니다.<br><b>6칸</b>과 <b>5칸 B형</b> 칩만 100% 효율이 나옵니다. (좌측 상단 도움말 참조)<br>(5B + 6칸 조합을 하실려면 필터 기능으로 5A 이하를 제외하세요.)<br><br><b>[{0}]</b> 옵션을 추천합니다.	<b>{1}</b> 未満のチップを含めて組み合わせる場合組み合わせ速度が遅くなります<br><b>6マス</b>と<b>5マスB型</b>のチップだけが100%効率が出ます(左上ヘルプ参考)<br>(5B + 6マス組み合わせをする場合フィルター機能で5A以下を除外してください)<br><br><b>[{0}]</b>の設定を推薦します	
COMB_OPTION_TITLE	Calculation Options	조합 범위 옵션	組み合わせ範囲設定	
COMB_ERROR_STAT_TITLE	Missing data	칩 스텟 오류	チップステータス入力エラー	
COMB_ERROR_STAT_BODY	Please fill all Chip data first.	모든 칩 스텟을 완성해야 조합할 수 있습니다.	全てのチップステータス入力を完了しないと組み合わせることができません	
// FILE	// File dialog window	//	//	//
FILE_EXT_INV_OPEN	Inventory Files (*.{0}) or Game Data Files (*.json)	칩 인벤토리 파일 (*.{0}) 또는 게임 데이터 파일 (*.json)	チップインベントリーファイル (*.{0}) または ゲームデータファイル (*.json)	
FILE_EXT_INV_SAVE	Inventory Files (*.{0})	칩 인벤토리 파일 (*.{0})	チップインベントリーファイル (*.{0})	
FILE_EXT_COMB	Result Files (*.{0})	칩 조합 파일 (*.{0})	チップ組み合わせファイル (*.{0})	
FILE_SAVE_TITLE	Save	저장	保存	
FILE_SAVE_BODY	Do you want to save the inventory?	저장하시겠습니까?	保存しますか?	
FILE_OVERWRITE_TITLE	Overwrite	덮어쓰기	上書き	
FILE_OVERWRITE_BODY	The name already exists. Do you wish to overwrite?	파일 이름이 이미 존재합니다. 덮어쓰시겠습니까?	ファイル名がすでに存在します、上書きしますか?	
// JSON	// JSON dialog (after both file and proxy dialog) window	//	//	//
JSON_TITLE	JSON Data Filter	JSON 데이터 필터	JSONデータフィルター	
JSON_FILTER_STAR	Only save {0}-star chips	{0}성만 저장	★{0}だけ 保存	
JSON_FILTER_SIZE	Only save Chips of size {0}-{1}	{0}~{1}칸 저장	{0}~{1}マス 保存	
JSON_SHAPETAG	Add shape tags	모양 태그 추가	形タグを追加	
JSON_MARK	Mark HOC tag Chips	화력소대 태그 칩 마킹	タグしたチップマーキング	
// Translation provided by	Bunnyspa	Bunnyspa	xpfjqja, apple, naganeko	
